Altium Designer Pick and Place Locations
D:\K_drive\Serveur\R&D\Bureau d'étude\ST\STM01 - I-NOVMICRO\3 - Fabrication\1 - Electronique\Fab Carte\VerB1\Pick and Place\Pick Place\STE01-Carte_Education_VerB1-Pick_and_Place-safe.txt

========================================================================================================================
File Design Information:

Date:       20/09/24
Time:       12:04
Revision:   Not in VersionControl
Variant:    Variant of STE01-Carte_Education-VerB_No_Bosh_sensor
Units used: mm

Designator Comment                Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation         Description                                                                                                     
TP43       T_RX2                  BottomLayer TESTPOINT_1MM              8.6617       -43.5602     90               TESTPOINTPAD                                                                                                    
TP42       CLK                    BottomLayer TESTPOINT_1MM              -2.3000      -31.0000     90               TESTPOINTPAD                                                                                                    
TP41       MISO                   BottomLayer TESTPOINT_1MM              -17.2426     -29.9350     90               TESTPOINTPAD                                                                                                    
TP40       MOSI                   BottomLayer TESTPOINT_1MM              -5.5300      -27.1000     90               TESTPOINTPAD                                                                                                    
TP39       /CS                    BottomLayer TESTPOINT_1MM              -16.6000     -32.1000     90               TESTPOINTPAD                                                                                                    
TP38       WP                     BottomLayer TESTPOINT_1MM              -16.8474     -27.7735     90               TESTPOINTPAD                                                                                                    
TP37       RST                    BottomLayer TESTPOINT_1MM              -6.9653      -29.9350     90               TESTPOINTPAD                                                                                                    
TP36       PAD                    TopLayer    TESTPOINT_1MM              -7.6000      -5.2000      90               TESTPOINTPAD                                                                                                    
TP35       PAD                    TopLayer    TESTPOINT_1MM              -2.6778      -3.6941      90               TESTPOINTPAD                                                                                                    
TP34       PAD                    TopLayer    TESTPOINT_1MM              1.3970       -3.2414      90               TESTPOINTPAD                                                                                                    
TP33       PAD                    TopLayer    TESTPOINT_1MM              -7.6000      -2.9000      90               TESTPOINTPAD                                                                                                    
TP32       PAD                    BottomLayer TESTPOINT_1MM              9.4000       19.6000      90               TESTPOINTPAD                                                                                                    
TP31       PAD                    BottomLayer TESTPOINT_1MM              -1.3000      -24.0853     90               TESTPOINTPAD                                                                                                    
TP30       PAD                    BottomLayer TESTPOINT_1MM              22.0526      8.3146       90               TESTPOINTPAD                                                                                                    
TP29       INTM                   BottomLayer TESTPOINT_1MM              2.1171       3.9000       90               TESTPOINTPAD                                                                                                    
TP28       INTA                   BottomLayer TESTPOINT_1MM              -0.2540      4.5918       90               TESTPOINTPAD                                                                                                    
TP27       INTD                   BottomLayer TESTPOINT_1MM              14.8000      6.0000       90               TESTPOINTPAD                                                                                                    
TP26       SCL1                   BottomLayer TESTPOINT_1MM              15.7776      0.8784       90               TESTPOINTPAD                                                                                                    
TP25       SDA1                   BottomLayer TESTPOINT_1MM              15.7480      3.1750       90               TESTPOINTPAD                                                                                                    
TP24       PAD                    BottomLayer TESTPOINT_1MM              8.5000       -4.2000      90               TESTPOINTPAD                                                                                                    
TP23       MOSI1                  BottomLayer TESTPOINT_1MM              6.2230       -5.1895      90               TESTPOINTPAD                                                                                                    
TP22       SCK1                   BottomLayer TESTPOINT_1MM              2.3050       -3.2981      90               TESTPOINTPAD                                                                                                    
TP21       PAD                    BottomLayer TESTPOINT_1MM              11.4266      -2.5860      90               TESTPOINTPAD                                                                                                    
TP20       PAD                    BottomLayer TESTPOINT_1MM              -1.1473      -4.5506      90               TESTPOINTPAD                                                                                                    
TP19       PAD                    BottomLayer TESTPOINT_1MM              20.4710      1.7497       90               TESTPOINTPAD                                                                                                    
TP18       PAD                    BottomLayer TESTPOINT_1MM              19.6350      5.9690       90               TESTPOINTPAD                                                                                                    
TP9        PAD                    BottomLayer TESTPOINT_1MM              16.2560      6.6040       90               TESTPOINTPAD                                                                                                    
TP8        PAD                    BottomLayer TESTPOINT_1MM              17.6056      9.2874       90               TESTPOINTPAD                                                                                                    
TP7        PAD                    TopLayer    TESTPOINT_1MM              21.0468      -7.9000      90               TESTPOINTPAD                                                                                                    
TP6        PAD                    TopLayer    TESTPOINT_1MM              -14.6646     -48.3350     90               TESTPOINTPAD                                                                                                    
TP5        PAD                    TopLayer    TESTPOINT_1MM              -17.3990     -3.6830      90               TESTPOINTPAD                                                                                                    
TP4        PAD                    TopLayer    TESTPOINT_1MM              1.2000       9.8000       90               TESTPOINTPAD                                                                                                    
TP3        PAD                    BottomLayer TESTPOINT_1MM              -9.9000      7.7723       90               TESTPOINTPAD                                                                                                    
TP2        PAD                    BottomLayer TESTPOINT_1MM              -18.3684     6.7000       90               TESTPOINTPAD                                                                                                    
TP1        PAD                    BottomLayer TESTPOINT_1MM              -20.2431     13.0805      90               TESTPOINTPAD                                                                                                    
T2         "#Circular Reference?" BottomLayer SOT95P260X110-3N_SOT-23-3  7.2558       -15.0960     270              "Small-Signal-Transitor MOSFET N"                                                                               
R116       "#Circular Reference?" TopLayer    RESC1005X40N_0402          -4.9450      13.7000      360              "RES CMS 100K1%-0,063W-0402 ±100ppm/°C"                                                                         
R115       "#Circular Reference?" TopLayer    RESC1005X40N_0402          -3.3000      13.7000      360              NI                                                                                                              
R114       "#Circular Reference?" TopLayer    RESC1005X40N_0402          -1.9450      14.7000      180              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R113       "#Circular Reference?" TopLayer    RESC1005X40N_0402          12.4217      -22.8000     270              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R112       "#Circular Reference?" BottomLayer RESC1005X40N_0402          -6.7840      -32.3000     360              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R111       "#Circular Reference?" BottomLayer RESC1005X40N_0402          -12.7000     -17.3000     90               "RES CMS 0R5%-0,0625W-0402"                                                                                     
R109       "#Circular Reference?" BottomLayer RESC1005X40N_0402          -13.8325     -15.3771     360              NI                                                                                                              
R107       "#Circular Reference?" BottomLayer RESC1608X45N_0603          -7.3000      8.0000       180              NI                                                                                                              
R105       "#Circular Reference?" BottomLayer RESC1005X40N_0402          3.9370       -31.3690     270              "RES CMS 100K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R100       "#Circular Reference?" BottomLayer RESC1005X40N_0402          -17.0000     -22.7000     360              "RES CMS 1,5K1%-0,0625W-0402 ±100ppm/°C"                                                                        
R99        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -10.9000     -33.7000     360              "RES CMS 100K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R98        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -12.3203     -25.9000     180              "RES CMS 36K1%-0,0625W-0402 ±100ppm/°C"                                                                         
R97        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -12.1136     -24.9000     180              "RES CMS 100R5%-0,0625W-0402 ±100ppm/°C"                                                                        
R96        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -13.9708     -25.9000     180              "RES CMS 10K1%-0,0625W-0402 ±100ppm/°C"                                                                         
R95        "#Circular Reference?" BottomLayer RESC1005X40N_0402          6.0000       -44.2000     360              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R94        "#Circular Reference?" BottomLayer RESC1005X40N_0402          6.0000       -43.1000     360              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R93        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -7.3125      -41.1000     90               "RES CMS 100R5%-0,0625W-0402 ±100ppm/°C"                                                                        
R92        "#Circular Reference?" BottomLayer RESC1005X40N_0402          10.4000      -30.1000     270              NI                                                                                                              
R91        "#Circular Reference?" BottomLayer RESC1005X40N_0402          9.5000       -30.1000     270              "RES CMS 10K1%-0,0625W-0402 ±100ppm/°C"                                                                         
R86        "#Circular Reference?" BottomLayer RESC1005X40N_0402          13.2637      20.0000      180              "RES CMS 22R0,5%-0,0625W-0402 ±100ppm/°C"                                                                       
R85        "#Circular Reference?" TopLayer    RESC1005X40N_0402          9.6000       12.5000      270              NI                                                                                                              
R83        "#Circular Reference?" TopLayer    RESC1005X40N_0402          9.5000       19.9000      270              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R82        "#Circular Reference?" BottomLayer RESC1608X45N_0603          0.8000       -23.9000     360              NI                                                                                                              
R81        "#Circular Reference?" BottomLayer RESC1608X45N_0603          0.8000       -25.1000     180              "RES CMS 0R 1% 0,1W 0603 ±100ppm/°C"                                                                            
R79        "#Circular Reference?" BottomLayer RESC1005X40N_0402          20.5900      11.4000      180              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R78        "#Circular Reference?" TopLayer    RESC1005X40N_0402          20.5746      10.9645      212,702520370483 NI                                                                                                              
R77        "#Circular Reference?" TopLayer    RESC1005X40N_0402          22.0450      4.0000       360              NI                                                                                                              
R76        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -1.9050      3.4290       180              NI                                                                                                              
R75        "#Circular Reference?" BottomLayer RESC1005X40N_0402          5.1000       0.8425       270              NI                                                                                                              
R74        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -5.6350      2.7350       180              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R72        "#Circular Reference?" TopLayer    RESC1005X40N_0402          23.4000      1.4000       270              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R71        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -20.6000     -38.7000     270              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R70        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -21.7000     -38.7000     270              NI                                                                                                              
R69        "#Circular Reference?" BottomLayer RESC1005X40N_0402          9.3999       -15.1000     90               "RES CMS 100K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R68        "#Circular Reference?" BottomLayer RESC1005X40N_0402          8.9962       -7.3000      360              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R67        "#Circular Reference?" TopLayer    RESC1005X40N_0402          5.2000       -30.5000     180              "RES CMS 10R1%-0,0625W-0402 ±200ppm/°C"                                                                         
R66        "#Circular Reference?" TopLayer    RESC1005X40N_0402          5.2000       -33.5000     180              "RES CMS 10R1%-0,0625W-0402 ±200ppm/°C"                                                                         
R65        "#Circular Reference?" TopLayer    RESC1005X40N_0402          5.2000       -32.0000     180              "RES CMS 100R5%-0,0625W-0402 ±100ppm/°C"                                                                        
R64        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -4.2000      15.0000      90               "RES CMS 10R1%-0,0625W-0402 ±200ppm/°C"                                                                         
R62        "#Circular Reference?" TopLayer    RESC1005X40N_0402          0.8000       -5.5000      270              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R61        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -5.1080      23.0405      102,500007629395 "RES CMS 47R1%-0,0625W-0402 ±100ppm/°C"                                                                         
R58        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -8.0375      22.0827      110,000007629395 "RES CMS 120R1%-0,0625W-0402 ±200ppm/°C"                                                                        
R57        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -2.1950      -6.4787      360              "RES CMS 1,15M1%-0,1W-0402 ±0ppm/°C"                                                                            
R55        "#Circular Reference?" TopLayer    RESC1005X40N_0402          13.2345      -27.1181     270              "RES CMS 120R1%-0,0625W-0402 ±200ppm/°C"                                                                        
R54        "#Circular Reference?" TopLayer    RESC1005X40N_0402          12.0345      -27.1181     270              "RES CMS 10R1%-0,0625W-0402 ±200ppm/°C"                                                                         
R53        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -16.2000     19.7000      45               "RES CMS 470R5%-0,1W-0402 ±200ppm/°C"                                                                           
R52        "#Circular Reference?" BottomLayer RESC1005X40N_0402          18.5635      3.5450       270              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R51        "#Circular Reference?" BottomLayer RESC1005X40N_0402          17.4000      3.5474       90               NI                                                                                                              
R50        "#Circular Reference?" BottomLayer RESC1005X40N_0402          14.5000      0.2000       90               "RES CMS 0R5%-0,0625W-0402"                                                                                     
R49        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -8.7000      -2.4000      180              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R48        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -8.7000      -3.6000      180              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R47        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -15.4550     -3.6881      180              "RES CMS 220R5%-0,1W-0402 ±10ppm/°C"                                                                            
R46        "#Circular Reference?" TopLayer    RESC1005X40N_0402          17.5000      -40.3000     315              "RES CMS 100R5%-0,0625W-0402 ±100ppm/°C"                                                                        
R45        "#Circular Reference?" TopLayer    RESC1005X40N_0402          13.5000      -44.3000     315              "RES CMS 100R5%-0,0625W-0402 ±100ppm/°C"                                                                        
R44        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -2.8000      -47.5000     90               "RES CMS 100R5%-0,0625W-0402 ±100ppm/°C"                                                                        
R43        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -10.9000     -47.4000     90               "RES CMS 100R5%-0,0625W-0402 ±100ppm/°C"                                                                        
R42        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -8.9215      -45.4000     90               "RES CMS 100R5%-0,0625W-0402 ±100ppm/°C"                                                                        
R41        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -19.1000     -41.9000     180              "RES CMS 100R5%-0,0625W-0402 ±100ppm/°C"                                                                        
R40        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -14.3000     -32.1000     45               "RES CMS 100R5%-0,0625W-0402 ±100ppm/°C"                                                                        
R39        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -15.6703     -40.7000     360              "RES CMS 4,7K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R38        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -14.1057     -39.3550     270              "RES CMS 4,7K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R37        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -12.8350     -41.8799     90               "RES CMS 4,7K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R36        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -11.3297     -40.4000     180              "RES CMS 4,7K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R35        "#Circular Reference?" TopLayer    RESC1005X40N_0402          9.9000       -34.2000     135              "RES CMS 4,7K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R34        "#Circular Reference?" TopLayer    RESC1005X40N_0402          5.8000       -40.5500     270              "RES CMS 4,7K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R33        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -2.9000      -38.3200     270              "RES CMS 4,7K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R32        "#Circular Reference?" TopLayer    RESC1005X40N_0402          1.2000       12.2000      90               NI                                                                                                              
R31        "#Circular Reference?" TopLayer    RESC3216X88N_1206          7.8000       5.7676       180              "RES CMS 15R0,5%-1W-1206 ±0ppm/°C"                                                                              
R30        "#Circular Reference?" TopLayer    RESC1005X40N_0402          19.2217      -19.6000     270              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R29        "#Circular Reference?" TopLayer    RESC1005X40N_0402          19.2217      -21.9000     270              NI                                                                                                              
R28        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -10.9850     -4.8260      180              "RES CMS 10K1%-0,0625W-0402 ±100ppm/°C"                                                                         
R27        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -13.6520     -3.9370      180              "RES CMS 105K0,5%-0,1W-0402 ±0ppm/°C"                                                                           
R26        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -9.4127      -2.4147      270              "RES CMS 10K1%-0,0625W-0402 ±100ppm/°C"                                                                         
R25        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -8.5257      -7.1150      360              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R24        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -9.8000      8.0450       270              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R23        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -4.7450      3.0000       360              "RES CMS 178K1%-0,1W-0402 ±25ppm/°C"                                                                            
R22        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -3.5000      3.8900       90               "RES CMS 1M1%-0,125W-0402 ±0ppm/°C"                                                                             
R21        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -9.0000      3.4000       180              "RES CMS 100R5%-0,0625W-0402 ±100ppm/°C"                                                                        
R20        "#Circular Reference?" TopLayer    RESC1005X40N_0402          -2.3000      10.6000      180              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R19        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -18.7000     9.9000       180              "RES CMS 10K1%-0,0625W-0402 ±100ppm/°C"                                                                         
R18        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -21.6000     11.0000      180              "RES CMS 10m1%-0,2W-0402 ±0ppm/°C"                                                                              
