Description,Quantity,Designator,Manufacturer,Manufacturer Part Number,Part Number,Digikey,Farnell,Mouser,RS,Switch possibility,Layer
"RES CMS 0R5%-0,0625W-0402",27,"R4, R6, R10, R11, R20, R24, R25, R30, R48, R49, R50, R52, R60, R62, R68, R71, R72, R73, R74, R79, R83, R94, R95, R111, R112, R113, R114",Yageo,RC0402JR-100RL,"0R-5%-0,0625W-0402",,,603-RC0402JR-100RL,,True,"Bottom, Top"
"RES CMS 220R5%-0,1W-0402 ±10ppm/°C",1,R47,Panasonic,ERJ-2GEJ221X,"220R-5%-0,1W-0402",P220JCT-ND,2692419,667-ERJ-2GEJ221X,,True,Bottom
"RES CMS 470R5%-0,1W-0402 ±200ppm/°C",1,R53,Panasonic,ERJ-2GEJ471X,"470R-5%-0,1W-0402",,,667-ERJ-2GEJ471X,,True,Bottom
"RES CMS 10R1%-0,0625W-0402 ±200ppm/°C",6,"R54, R64, R66, R67, R106, R108",Yageo,RC0402FR-1010RL,"10R-1%-0,0625W-0402",,,603-RC0402FR-1010RL,,True,Top
"RES CMS 120R1%-0,0625W-0402 ±200ppm/°C",2,"R55, R58",Yageo,AC0402FR-07120RL,"120R-1%-0,0625W-0402",YAG3440CT-ND,,603-AC0402FR-07120RL,,True,Top
"RES CMS 1,15M1%-0,1W-0402 ±0ppm/°C",1,R57,KOA Speer,RK73H1ETTP1154F,"1,15M-1%-0,1W-0402",2019-RK73H1ETTP1154FCT-ND,,660-RK73H1ETTP1154F,,True,Top
"RES CMS 324K1%-0,0625W-0402 ±100ppm/°C",1,R59,Yageo,AC0402FR-07324KL,"324K-1%-0,0625W-0402",13-AC0402FR-07324KLCT-ND,,603-AC0402FR-07324KL,,True,Top
"RES CMS 47R1%-0,0625W-0402 ±100ppm/°C",1,R61,Yageo,RC0402FR-0747RL,"47R-1%-0,0625W-0402",311-47.0LRCT-ND,,603-RC0402FR-0747RL,198-7801,True,Top
"RES CMS 100K1%-0,1W-0402 ±100ppm/°C",3,"R63, R102, R103",Panasonic,ERJ-2RKF1003X,"100K-1%-0,1W-0402",,,667-ERJ-2RKF1003X,,True,Bottom
"RES CMS 0R 1% 0,1W 0603 ±100ppm/°C",1,R81,Vishay,CRCW06030000Z0EAC,"0R-1%-0,1W-0603",541-4012-1-ND,-,71-CRCW06030000Z0EAC,-,True,Bottom
"RES CMS 22R0,5%-0,0625W-0402 ±100ppm/°C",1,R86,Panasonic,ERJ2RKD22R0X,"22R-0,5%-0,0625W-0402",,,667-ERJ-2RKD22R0X,,True,Bottom
"RES CMS 100K1%-0,1W-0603 ±100ppm/°C",1,R89,Yageo,RC0603FR-07100KL,"100K-1%-0,1W-0603",,,RC0603FR-07100KL,,True,Bottom
RES CMS NI0%-0W-0402 ±100ppm/°C,2,"R90, R101",NC,NC,NC-0%-0W-0402,-,-,-,-,True,Bottom
"RES CMS 36K1%-0,0625W-0402 ±100ppm/°C",1,R98,Yageo,RC0402FR-0736KL,"36K-1%-0,0625W-0402",311-36.0KLRCT-ND,,603-RC0402FR-0736KL,,True,Bottom
Surface Mounting Switch,1,SW1,C&K,PTS636 SM25J SMTR LFS,PTS636 SM25J SMTR LFS,CKN12325-1-ND,,611-PTS636SM25JSMTRL,,False,Bottom
4-direction type with center-push function,1,SW2,ALPS,SKRHABE010,SKRHABE010,,,688-SKRHAB,,False,Top
"Interrupteurs de contact 50mA 12VDC, 1.8N 3.8mm H, G leads",3,"SW3, SW4, SW5",C&K,PTS647SM38SMTR2LFS,PTS647SM38SMTR2LFS,,,611-PTS647SM38SMTR2L,,False,Top
Small-Signal-Transitor MOSFET N,2,"T1, T2",Infineon,BSS119N-H6327,BSS119N,BSS119NH6327XTSA1CT-ND,-,726-BSS119NH6327,-,False,Bottom
Transistors bipolaires - BJT SS SOT23 NPN 40V,1,T3,On Semiconductor,MMBT2222A-7-F,MMBT2222A,MMBT2222A-FDICT-ND,1773626,,,False,Bottom
MOSFET N/P-CH 60V/50V SOT363,1,T4,Diodes Incorporated,BSS8402DW-7-F,BSS8402DW-7-F,BSS8402DW-FDIDKR-ND,,,,False,Bottom
"Standalone 1 cell 1,5A batterry with PowerPath",1,U1,Texas Instruments,BQ24075RGT,BQ24075RGT,,,595-BQ24075RGTR,,False,Bottom
"Accéléromètre, gyroscope, température, 6 axes Anturi I²C, SPI Sortie",1,U10,STMicroelectronics ,ISM330DLCTR,ISM330DLCTR,497-17583-2-ND,,,,False,Bottom
SENSOR OPTICAL 4M I2C,1,U11,STMicroelectronics ,VL53L1CXV0FY/1,VL53L1X,497-17764-1-ND,,511-VL53L1CXV0FY/1,,False,Top
"Capteur de pression 3,77PSI ~ 18,27PSI (26kPa ~ 126kPa) Absolu  24 b 10-WFLGA",1,U12,Wurth Elektronik,2511020213301,2511020213301,1917-2511020213301CT-ND,,,,False,Top
"Humidité, température Capteur I²C, SPI Sortie",1,U13,Wurth Elektronik,2525020210001,2525020210001,1917-2525020210001CT-ND,,,,False,Bottom
Capteurs optiques Ambiant 560nm I²C Module 8-SMD,1,U15,Broadcom Limited,APDS-9960,APDS-9960,516-3480-1-ND,,630-APDS-9960,,False,Top
ARM® Cortex®-M3 STM32F1 Microcontrôleurs IC 32-Bit 72MHz 128Ko (128K x 8) FLASH,1,U17,STMicroelectronics ,STM32F103CBT6,STM32F103CBT6,497-6288-ND,,511-STM32F103CBT6,,False,Bottom
PMIC - Régulateurs de tension - Linéaires Positif Fixe 1 Sortie  150mA SOT-23-5,1,U19,STMicroelectronics ,LD3985M33R,LD3985M33R,497-3504-1-ND,,6868802P,,False,Bottom
"LiCoO2, Li-Ion, Indicateur de charge batterie, alimentation 2.45 V à 4.5 V, interface I2C, SON-12",1,U2,Texas Instruments,BQ27441DRZR-G1A,BQ27441DRZR-G1A,296-37271-1-ND,2400942,595-BQ27441DRZR-G1A,,False,Bottom
"FLASH - NOR Mémoire IC 64Mb (8M x 8) SPI - I/O quadruple, QPI, DTR 133MHz 6ns 8-WSON (6x5)",1,U20,Winbond,W25Q64JVZPIM,W25Q64JVZPIM,256-W25Q64JVZPIM-ND,,,,False,Bottom
"5,5V Low loss Power distribution switch",1,U21,DIOO Microcircuits,DIO7003LEST5,DIO7003LEST5,,,453-DIO7003LEST5,,False,Bottom
"Survolteur Régulateur à découpage IC Positif Réglable 1,23V 1 Sortie 75mA (Commutateur) SC-74A, SOT-753",1,U22,Diodes Incorporated,AP3015AKTR-G1,AP3015AKTR-G1,AP3015AKTR-G1DICT-ND,,,8287438,False,Top
"High Efficient single inductor buck-boost converter with 1,8-A switches ajustable",1,U3,Texas Instruments,TPS63000DRCT,TPS63000,,,595-TPS63000DRCR,,False,Top
"Simple Switcher 24Vout 2,1A Step-Up SOT-23",1,U4,Texas Instruments,LMR62421XMF_NOPB,LMR62421XMF_NOPB,,,926-LMR62421XMF/NOPB,,False,Top
MEMS audio sensor omnidirectional digital microphone dor industrial application,1,U5,STMicroelectronics ,IMP34DT05,IMP34DT05,,,511-IMP34DT05TR,,False,Top
"MCU 32bit, STM32WB55RX-M4, 256 Kb to 1Mb Flash 128 to 256kB SRAM 64MHz Bluetooth 5.2, VFQFPN68",1,U6,STMicroelectronics ,STM32WB55RG,STM32WB55RG,,,511-STM32WB55RGV6,,False,Bottom
"Centre 2,45GHz fréquence Passe-bas Filtres RF (Fréquence radio) 100MHz Bande passante 1,1dB 6-SMD, sans plomb",1,U7,STMicroelectronics ,MLPF-WB55-01E3,MLPF-WB55-01E3,497-19088-1-ND,,511-MLPF-WB55-01E3,,False,Bottom
Interface - Extensions d'E/S 8B I/O Expander I2C interface,1,U8,Microchip,MCP23009-E/MG,MCP23009-E/MG,,,579-MCP23009-E/MG,,False,Bottom
"magnétorésistif Capteur X, Y, Z axe 12-LGA (2x2)",1,U9,STMicroelectronics ,LIS2MDLTR,LIS2MDLTR,497-17588-2-ND,,,,False,Bottom
QUARTZ 32MHz 9pF 10 ppm,1,X1,Wurth,830103552209,830103552209,1923-830103552209CT-ND,,710-830103552209,,False,Bottom
QUARTZ 32Khz 12pF 30 ppm,1,X2,Wurth,830062558,830062558,732-830062558CT-ND,,710-830062558,,False,Bottom
QUARTZ 8MHz 12pF 20 ppm,1,X4,Wurth,830108313809,830108313809,732-830108313809CT-ND,,710-830108313809,,False,Bottom
Non câblé,,,,,,,,,,,
NI,17,"R3, R7, R9, R29, R32, R51, R70, R75, R76, R77, R78, R82, R85, R92, R107, R109, R115",-,-,"NI-1%-0,1W-0603",-,-,-,-,True,"Bottom, Top"
"Embase FTS 10 point 1,27 mm vertical",1,J8,SAMTEC,FTS-105-01-F-D,FTS-105-01-F-D,SAM9420-ND,,200-FTS10501FD,,False,Top
CONN HEADER VERT 3POS 1.27MM,1,J9,SAMTEC,FTS-103-01-F-S,FTS-103-01-F-S,612-FTS-103-01-F-S-ND,,,,False,Bottom
RES CMS NI0%-0W-0402 ±100ppm/°C,2,"R90, R101",NC,NC,NC-0%-0W-0402,-,-,-,-,True,Bottom
